# JSC-18819/p.475

          SDL MASS MEMORY BUILD PROGRAM - PHASE TABLE/LOADBLOCK

| PHASE | LOAD | PROTECT |     AP-101    |  MM ADDRESS |  - CHECKSUM  | LOADBLK LENGTH |
|       | BLK  |  STATUS |    ADDRESS    |   (FTSBB)   |              |                |
|       |      |         |  FIRST   LAST | FIRST  LAST | OFFSET VALUE |  (HEX)  (DEC)  |
|-------|------|---------|---------------|-------------|--------------|----------------|
|     1 |    1 | PROT    | 000000 000719 | 44100 44231 | 0119   0000  | 00071A  1818   |
|       |    2 | PROT    | 006FBC 007287 | 44223 44224 | 00CB   0000  | 0002CC   716   |
|       |    3 | PROT    | 007C00 007F01 | 44230 44231 | 0101   0000  | 000302   770   |
|     2 |    1 |         | 000000 0001A7 | 43000 43000 | 01A7   EE33  | 0001A8   424   |
|       |    2 | PROT    | 0001A8 000231 | 43001 43001 | 0089   EE43  | 00008A   138   |
|       |    3 | PROT    | 000478 0004F9 | 43002 43002 | 0081   22FF  | 000072   130   |
|       |    4 |         | 0004FA 0005E9 | 43003 43003 | 00EF   7129  | 0000F0   240   |
|       |    5 | PROT    | 000602 000669 | 43004 43004 | 0067   32E4  | 000068   104   |
|       |    6 |         | 00066A 00428B | 43005 43005 |              | 003C22 15394   |
|       |    7 |         | 00428C 004AA1 | 43104 43108 |              | 000816  2070   |
|       |    8 | PROT    | 004AA2 004C58 | 43109 43109 |              | 0001BA   442   |
|       |    9 |         | 008000 008099 | 43110 43110 |              | 00009A   154   |
|       |   10 | PROT    | 00809A 008117 | 43111 43111 |              | 00007E   126   |
|       |   11 |         | 008118 00A32D | 43112 43129 |              | 002216  8726   |
|       |   12 |         | 00A32E 00CA6B | 43130 43217 |              | 00273E 10046   |
|       |   13 | PROT    | 010000 013D75 | 43218 43316 |              | 003D76 15734   |
|       |   14 | PROT    | 013D76 01571B | 43317 43329 |              | 0019A6  6566   |
|       |   15 | PROT    | 018000 01976D | 43330 43409 |              | 00176E  5998   |
|       |   16 | PROT    | 01976E 01C315 | 43410 43431 |              | 002BA8 11176   |
|       |   17 |         | 01C316 01CD33 | 43500 43505 |              | 000A1E  2590   |
|       |   18 | PROT    | 01CD34 01D31B | 43506 43508 |              |                |
|       |   19 |         | 01D31C 01E8E5 | 43509 43519 |              |                |
|       |   20 | PROT    | 01E8E6 01E9B9 | 43520 43520 |              |                |
|       |   21 | PROT    | 020000 0222B3 | 43521 43606 |              |                |
|       |   22 | PROT    | 028000 028689 | 43607 43610 |              |                |
|       |   23 |         | 02868A 0298C1 | 43611 43620 |              |                |
|       |   24 | PROT    | 02BFF4 02BFFF | 43621 43621 |              |                |
|       |   25 |         | 030000 0308ED | 43622 43626 |              |                |
|     3 |    1 | PROT    | 000232 000245 | 51402 51402 |              |                |
|       |    2 |         | 003C4E 004197 | 51403 51405 |              |                |
|       |    3 |         | 004A76 005F81 | 51406 51416 |              |                |
|       |    4 | PROT    | 013C82 013D6D | 51417 51417 |              |                |
|       |    5 | PROT    | 01CD34 01CE5D | 51418 51418 |              |                |
|       |    6 | PROT    | 01E8E6 01F26B | 51419 51423 |              |                |
|       |    7 |         | 028984 028989 | 51424 51424 |              |                |
|     4 |    1 |         | 009D46 00D299 | 54600 54626 |              |                |
|       |    2 |         | 02898A 029681 | 54627 54701 |              |                |
|     5 |    1 |         | 009D46 00D89B | 50404 50501 |              |                |
|       |    2 |         | 0222B4 0223E9 | 50502 50502 |              |                |
|       |    3 |         | 02898A 02B483 | 50503 50524 |              |                |
|       |    4 |         | 03043E 0308ED | 50525 50527 |              |                |
|       |      |         |               |             |              |                |
